-,Unit,Line,Order No,Style Name,TGT,08-Sep,09-Oct,10-Nov,11-Dec,Dec-13,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,12-1(N),1-2(N),2-3(N),Total,Avg.Prod.
  ,JAL-1,A1,2024/23181 HM::TOP,310398-7616 DRAGONFLY DRESS (ALT-28),186,240,250,230,240,250,230,240,240,,,,,,,,,,,1920,240
  ,JAL-1,B1,2024/23236 HM::TOP,310575-7616 SUE TEE (ALT-08),202,205,210,200,205,210,200,205,210,200,185,,,,,,,,,2030,203
  ,JAL-1,B2,2024/23279 HM::TOP,310919-7616 EVELYN TOP (ALT-03),187,200,210,190,200,210,190,200,210,200,190,,,,,,,,,2000,200
  ,JAL-1,C1,2024/16269 HM::BTM-2,228098-7930 VICKY LEGGING 2PACK PACK-01,309,16-Oct,26-Oct,06-Oct,16-Oct,Oct-00,280,290,290,,,,,,,,,,,2320,290
  ,JAL-1,C2,2024/16209 CA::TOP,2236434C2CR INDINA 25 STRIPE DOF 2236433,73,100,105,95,100,105,95,100,100,,,,,,,,,,,800,100
  ,JAL-1,D2,2024/22403 CA::T SHIRT,SS T-SHIRT SURFING SKELETON PRINT TAYLOR M,185,185,190,180,185,190,180,185,185,,,,,,,,,,,1480,185
  ,JAL-1,E1,2024/23172 HM::BTM,307310-6525 SANNA SUMMER SET 2PCS,206,220,230,210,220,230,210,220,220,,,,,,,,,,,1760,220
  ,JAL-1,E2,2024/23172 HM::TOP,307310-6525 SANNA SUMMER SET 2PCS,195,28-Jul,07-Aug,18-Jul,28-Jul,Aug-00,200,210,195,,,,,,,,,,,1665,208
  ,JAL-1,F1,2024/21536 CA::T-SHIRT,2234730 LICENSE LILO STITCH SS T SHIRT DOF 2233617,200,200,210,190,200,210,190,200,200,,,,,,,,,,,1600,200
  ,JAL-1,G1,2024/24401 CA::TOP,2224397C2CR15-QR-NOS-2224397 BOBBY 24 SOLID M,173,185,190,180,185,190,180,185,185,,,,,,,,,,,1480,185
  ,JAL-1,G2,2024/23181 HM::TOP,310398-7616 DRAGONFLY DRESS (ALT-28),173,240,06-Sep,17-Aug,27-Aug,Sep-00,230,240,240,,,,,,,,,,,1920,240
  ,MC#232Op#203Hp#57Line#11     Total Production of JAL-1,,,,2089,2275,2365,2185,2275,2365,2185,2275,2275,400,375,0,0,0,0,0,0,0,0,18975,
  ,"Acting Input Man (Op#0 / Hp#1) , Lv In Case of Emergency (Op#1 / Hp#0) , Scissoring (Op#3 / Hp#0) , Working At Heat Seal (Op#3 / Hp#0)",,,,"TOTAL OFT-Op#7, Hp#1",,,,,,,,,,,,,,,,,,,,
-,Unit,Line,Order No,Style Name,TGT,08-Sep,09-Oct,10-Nov,11-Dec,Dec-13,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,12-1(N),1-2(N),2-3(N),Total,Avg.Prod.
    ,JAL-2,A1,2024/21866 CA::TOP,2240044-2240044 BOBBY 25 AOP DOF 2224397,237,28-Jun,08-Jul,18-Jul,28-Jul,Aug-00,200,220,210,220,230,425,350,392,,,,,,3247,269
    ,JAL-2,A2,2024/23236 HM::TOP,310575-7616 SUE TEE (ALT-08),225,120,140,100,160,180,150,180,190,200,250,350,,,,,,,,2020,209
    ,JAL-2,B1,2024/23434 HM::TOP,313895 TEE TATE,204,180,190,170,180,190,170,200,190,220,230,255,200,200,,,,,,2575,198
    ,JAL-2,C1,2024/18391 CA::T-SHIRT,C2C-2236632-INAYA SLEEVELESS,240,0,40,60,80,24,25,25,39,,,,,,,,,,,293,37
    ,JAL-2,D1,2024/23279 HM::TOP,310919-7616 EVELYN TOP (ALT-03),266,160,180,200,220,200,210,220,230,210,220,230,220,320,,,,,,2820,223
